Product Group,Product Category,Printing Pages / Sides,Variables,Size,Material Specification,Finish,"Tax Label","Tax Rate","Unit Price",Unit ,"Ink Cost","Sheet Cost","Lamination Cost",OR Cost,Input - Height (mm),Input - Width (mm),Quantity 
Display,Dibond Display Panels,1,Rectangle/Square Shape,3mm (0.2mm skin),White,No Lamination,VAT,20%,£21.31,sq/m,£2.00,£12.31,£0.00,£7.00,,,
Display,Dibond Display Panels,1,Rectangle/Square Shape,3mm (0.2mm skin),White,Lamination Gloss,VAT,20%,£25.02,sq/m,£2.00,£12.31,£2.71,£8.00,,,
Display,Dibond Display Panels,1,Rectangle/Square Shape,3mm (0.2mm skin),White,Lamination Matt,VAT,20%,£25.02,sq/m,£2.00,£12.31,£2.71,£8.00,,,
Display,Dibond Display Panels,1,Rectangle/Square Shape,3mm (0.2mm skin),Brushed Steel,No Lamination,VAT,20%,£27.83,sq/m,£2.00,£18.83,£0.00,£7.00,,,
Display,Dibond Display Panels,1,Rectangle/Square Shape,3mm (0.2mm skin),Brushed Steel,Lamination Gloss,VAT,20%,£31.54,sq/m,£2.00,£18.83,£2.71,£8.00,,,
Display,Dibond Display Panels,1,Rectangle/Square Shape,3mm (0.2mm skin),Brushed Steel,Lamination Matt,VAT,20%,£31.54,sq/m,£2.00,£18.83,£2.71,£8.00,,,
Display,Dibond Hoarding Display Panels,1,Rectangle/Square Shape,3mm (0.15mm skin)		,White,No Lamination,VAT,20%,£18.57,sq/m,£2.00,£9.57,£0.00,£7.00,,,
Display,Dibond Hoarding Display Panels,1,Rectangle/Square Shape,3mm (0.15mm skin)		,White,Lamination Gloss,VAT,20%,£22.28,sq/m,£2.00,£9.57,£2.71,£8.00,,,
Display,Dibond Hoarding Display Panels,1,Rectangle/Square Shape,3mm (0.15mm skin)		,White,Lamination Matt,VAT,20%,£22.28,sq/m,£2.00,£9.57,£2.71,£8.00,,,
Display,Foamex,1,Rectangle/Square Shape,2mm,White,No Lamination,VAT,20%,£16.54,sq/m,£2.00,£7.54,£0.00,£7.00,,,
Display,Foamex,1,Rectangle/Square Shape,2mm,White,Lamination Gloss,VAT,20%,£20.25,sq/m,£2.00,£7.54,£2.71,£8.00,,,
Display,Foamex,1,Rectangle/Square Shape,2mm,White,Lamination Matt,VAT,20%,£20.25,sq/m,£2.00,£7.54,£2.71,£8.00,,,
Display,Foamex,1,Rectangle/Square Shape,3mm,White,No Lamination,VAT,20%,£15.92,sq/m,£2.00,£6.92,£0.00,£7.00,,,
Display,Foamex,1,Rectangle/Square Shape,3mm,White,Lamination Gloss,VAT,20%,£19.63,sq/m,£2.00,£6.92,£2.71,£8.00,,,
Display,Foamex,1,Rectangle/Square Shape,3mm,White,Lamination Matt,VAT,20%,£19.63,sq/m,£2.00,£6.92,£2.71,£8.00,,,
Display,Foamex,1,Rectangle/Square Shape,5mm,White,No Lamination,VAT,20%,£19.95,sq/m,£2.00,£10.95,£0.00,£7.00,,,
Display,Foamex,1,Rectangle/Square Shape,5mm,White,Lamination Gloss,VAT,20%,£23.66,sq/m,£2.00,£10.95,£2.71,£8.00,,,
Display,Foamex,1,Rectangle/Square Shape,5mm,White,Lamination Matt,VAT,20%,£23.66,sq/m,£2.00,£10.95,£2.71,£8.00,,,
